inn;year;ROA_par;Z_A_par
0104014512;2014;-0,0426;0,7978723404255319
0104014512;2015;0,0041;0,9607390300230947
0104014512;2016;0,0015;0,2556512378902045
0104014512;2017;0,0523;0,19069116561712243
0104014512;2018;0,0011;0,17839088772373893
0104014512;2019;0,0006;0,08238291035547053
0104014512;2020;0,0010512869473573968;0,09503167348294007
0104014512;2021;0,00404974775319863;0,07835537215024295
0104014512;2022;0,003001990515170326;0,07644596934614685
0104014512;2023;0,0041938777867803895;0,07674660233554793
0104014512;2024;0,00345797055164243;0,07657845394466324
0104014512;2025;0,0035868042081432083;0,07657845394466324
0105003792;2012;0,0602;0,11719498501066251
0105003792;2013;0,016;0,5401641232679839
0105003792;2014;0,0098;0,286052189836716
0105003792;2015;0,0065;0,31334151650131603
0105003792;2016;0,0036;0,2385906891837687
0105003792;2017;0,011;0,034157122764717704
0105003792;2018;0,0071;0,008154439775681376
0105003792;2019;0,0036;0,002621824671531668
0105003792;2020;0,004051286947357397;0,015270587799001211
0105003792;2021;0,00704974775319863;-0,0014057135336959133
0105003792;2022;0,006001990515170326;-0,003315116337792013
0105003792;2023;0,0071938777867803895;-0,003014483348390929
0105003792;2024;0,00645797055164243;-0,0031826317392756216
0105003792;2025;0,006586804208143208;-0,0031826317392756216
0105008695;2013;0,1203;0,12281558871058665
0105008695;2014;-0,397;0,18963006117098746
0105008695;2015;0,0139;0,174184007605366
0105008695;2016;-0,0925;0,21148036253776434
0105008695;2017;-0,1401;0,010227075749696654
0105008695;2018;0,0002;0,3338693977739219
0105008695;2019;0,011;0,04481178092444689
0105008695;2020;0,011451286947357395;0,05746054405191643
0105008695;2021;0,014449747753198627;0,04078424271921931
0105008695;2022;0,013401990515170324;0,03887483991512321
0105008695;2023;0,014593877786780387;0,03917547290452429
0105008695;2024;0,013857970551642427;0,0390073245136396
0105008695;2025;0,013986804208143206;0,0390073245136396
0105043900;2012;0,1189;0,7803157781676273
0105043900;2013;0,0039;0,3141600959267469
0105043900;2014;0,0055;0,1901302513300312
0105043900;2015;0,0092;0,11863185320694052
0105043900;2016;0,0016;0,12052883916896702
0105043900;2017;0,022;0,07855539971949509
0105043900;2018;0,0342;0,06475159213154158
0105043900;2019;0,0408;0,030845349796073014
0105043900;2020;0,0412512869473574;0,043494112923542556
0105043900;2021;0,044249747753198634;0,026817811590845432
0105043900;2022;0,04320199051517033;0,024908408786749332
0105043900;2023;0,044393877786780396;0,025209041776150416
0105043900;2024;0,04365797055164244;0,025040893385265724
0105043900;2025;0,04378680420814322;0,025040893385265724
0106003795;2012;0,0024;0,3661457979994422
0106003795;2013;0,0003;0,20862481917996634
0106003795;2014;-0,0003;0,09613892527302004
0106003795;2015;-0,0322;0,18671192880206153
0106003795;2016;-0,0221;0,60216675420387
0106003795;2017;0,0025;0,25730726674088
0106003795;2018;0,0025;0,37445151903421475
0106003795;2019;-0,0028;0,24655941027368844
0106003795;2020;-0,002348713052642603;0,259208173401158
0106003795;2021;0,0006497477531986298;0,24253187206846086
0106003795;2022;-0,00039800948482967375;0,24062246926436476
0106003795;2023;0,0007938777867803897;0,24092310225376584
0106003795;2024;5,7970551642430156e-05;0,24075495386288115
0106003795;2025;0,00018680420814320845;0,24075495386288115
0107008891;2016;-0,0831;0,43825340843291044
0107008891;2017;0,0653;0,41086562026453144
0107008891;2018;-0,0955;0,5716381710932119
0107008891;2019;0,0224;0,0733426731846906
0107008891;2020;0,022851286947357396;0,08599143631216014
0107008891;2021;0,025849747753198628;0,06931513497946301
0107008891;2022;0,024801990515170326;0,06740573217536691
0107008891;2023;0,02599387778678039;0,067706365164768
0107008891;2024;0,02525797055164243;0,0675382167738833
0107008891;2025;0,02538680420814321;0,0675382167738833
0107011830;2012;0,1351;0,09198187756822253
0107011830;2013;0,0756;0,38147551389092327
0107011830;2014;0,0097;0,24783247984586523
0107011830;2015;-0,0173;0,16332644628099174
0107011830;2016;-0,0003;0,1656153050672182
0107011830;2017;0,0731;0,8462417289474937
0107011830;2018;-0,029;0,5560878823073945
0107011830;2019;-0,0246;0,14229907508473602
0107011830;2020;-0,024148713052642604;0,15494783821220556
0107011830;2021;-0,021150252246801372;0,13827153687950844
0107011830;2022;-0,022198009484829674;0,13636213407541234
0107011830;2023;-0,02100612221321961;0,13666276706481342
0107011830;2024;-0,02174202944835757;0,13649461867392873
0107011830;2025;-0,02161319579185679;0,13649461867392873
0107021081;2013;0,0018;0,6503031383737518
0107021081;2014;0,0235;0,7339600414729256
0107021081;2015;0,0279;0,890643721172128
0107021081;2016;0,0015;0,4610142685036628
0107021081;2017;-0,0126;0,7463032473257051
0107021081;2018;0,0012;0,5176475756578774
0107021081;2019;0,0145;0,5733445377721493
0107021081;2020;0,014951286947357399;0,5859933008996189
0107021081;2021;0,01794974775319863;0,5693169995669217
0107021081;2022;0,01690199051517033;0,5674075967628256
0107021081;2023;0,018093877786780392;0,5677082297522267
0107021081;2024;0,017357970551642433;0,567540081361342
0107021081;2025;0,017486804208143213;0,567540081361342
0107022575;2013;-0,0104;0,21159420289855072
0107022575;2018;0,0107;0,05827954610242904
0107022575;2019;0,0008;0,12574836349146992
0107022575;2020;0,0012512869473573968;0,13839712661893946
0107022575;2021;0,00424974775319863;0,12172082528624234
0107022575;2022;0,0032019905151703266;0,11981142248214624
0107022575;2023;0,00439387778678039;0,12011205547154732
0107022575;2024;0,0036579705516424305;0,11994390708066263
0107022575;2025;0,0037868042081432088;0,11994390708066263
0107024212;2019;0,094;0,5902127904633016
0107024212;2020;0,0944512869473574;0,6028615535907711
0107024212;2021;0,09744974775319863;0,5861852522580739
0107024212;2022;0,09640199051517033;0,5842758494539778
0107024212;2023;0,09759387778678039;0,5845764824433789
0107024212;2024;0,09685797055164243;0,5844083340524941
0107024212;2025;0,0969868042081432;0,5844083340524941
0107026033;2014;-0,0953;0,9991158466190988
0107026033;2015;-0,0168;0,008980942230196035
0107026033;2016;-0,1113;0,12946912631105126
0107026033;2017;0,2051;0,050105444836978506
0107026033;2018;-0,0666;0,43049997439834947
0107026033;2019;-0,2005;0,3805225885603132
0107026033;2020;-0,2000487130526426;0,3931713516877827
0107026033;2021;-0,19705025224680137;0,37649505035508557
0107026033;2022;-0,19809800948482967;0,37458564755098944
0107026033;2023;-0,1969061222132196;0,3748862805403905
0107026033;2024;-0,19764202944835757;0,37471813214950583
0107026033;2025;-0,1975131957918568;0,37471813214950583
0107026058;2015;-0,1315;0,028620560862033143
0107026058;2016;-0,0759;0,10788754770198392
0107026058;2017;-0,066;0,12134331584876033
0107026058;2018;-0,0554;0,08490711795035004
0107026058;2019;-0,0857;0,08435589682118225
0107026058;2020;-0,0852487130526426;0,09700465994865179
0107026058;2021;-0,08225025224680137;0,08032835861595466
0107026058;2022;-0,08329800948482967;0,07841895581185857
0107026058;2023;-0,08210612221321961;0,07871958880125965
0107026058;2024;-0,08284202944835757;0,07855144041037496
0107026058;2025;-0,08271319579185679;0,07855144041037496
0107026107;2016;-0,0445;0,007282621743827778
0107026107;2017;0,0693;0,0755891507336594
0107026107;2019;0,0007;0,023022950522837354
0107026107;2020;0,001151286947357397;0,0356717136503069
0107026107;2021;0,00414974775319863;0,018995412317609775
0107026107;2022;0,0031019905151703263;0,017086009513513675
0107026107;2023;0,00429387778678039;0,01738664250291476
0107026107;2024;0,0035579705516424302;0,017218494112030067
0107026107;2025;0,0036868042081432085;0,017218494112030067
0107026450;2016;-0,0606;0,01797391726766563
0107026450;2017;-0,0324;0,2810278840896665
0107026450;2018;-0,0447;0,9226934758402145
0107026450;2019;-0,0287;0,5844216539010775
0107026450;2020;-0,028248713052642604;0,597070417028547
0107026450;2021;-0,025250252246801372;0,5803941156958499
0107026450;2022;-0,026298009484829674;0,5784847128917537
0107026450;2023;-0,02510612221321961;0,5787853458811548
0107026450;2024;-0,02584202944835757;0,5786171974902701
0107026450;2025;-0,02571319579185679;0,5786171974902701
0107026499;2014;-0,0001;0,3709206675784888
0107026499;2015;-0,0925;0,21196606852149355
0107026499;2016;-0,2097;0,2981694440700251
0107026499;2017;-0,2481;0,018031737448360046
0107026499;2018;-0,1292;0,568241602812942
0107026499;2019;-0,0935;0,5207899412559828
0107026499;2020;-0,0930487130526426;0,5334387043834523
0107026499;2021;-0,09005025224680137;0,5167624030507552
0107026499;2022;-0,09109800948482967;0,514853000246659
0107026499;2023;-0,08990612221321961;0,5151536332360601
0107026499;2024;-0,09064202944835757;0,5149854848451754
0107026499;2025;-0,0905131957918568;0,5149854848451754
0107027037;2014;-9,3636;0,11363636363636363
0107027037;2015;0,1581;0,22442545874224457
0107027037;2016;0,0489;0,47989344602951267
0107027037;2017;0,0178;0,44708964921196703
0107027037;2018;0,1786;0,35614231312082234
0107027037;2019;0,0901;0,33466483624738624
0107027037;2020;0,0905512869473574;0,3473135993748558
0107027037;2021;0,09354974775319863;0,3306372980421587
0107027037;2022;0,09250199051517033;0,32872789523806256
0107027037;2023;0,0936938777867804;0,32902852822746365
0107027037;2024;0,09295797055164244;0,32886037983657895
0107027037;2025;0,09308680420814322;0,32886037983657895
0107029108;2015;-2,8;0,3
0107029108;2016;-3,5556;4,375
0107029108;2017;-0,0006;0,025832657681161747
0107029108;2018;-0,0062;0,9879202513098557
0107029108;2019;-0,6197;1,4958380221986605
0107029108;2020;-0,6192487130526426;1,50848678532613
0107029108;2021;-0,6162502522468014;1,4918104839934327
0107029108;2022;-0,6172980094848297;1,4899010811893367
0107029108;2023;-0,6161061222132197;1,4902017141787378
0107029108;2024;-0,6168420294483576;1,4900335657878532
0107029108;2025;-0,6167131957918569;1,4900335657878532
0107030022;2017;-0,0236;0,5992366412213741
0107030022;2019;0,1437;0,042765766242004545
0107030022;2020;0,1441512869473574;0,05541452936947409
0107030022;2021;0,14714974775319864;0,03873822803677696
0107030022;2022;0,14610199051517034;0,03682882523268086
0107030022;2023;0,1472938777867804;0,03712945822208195
0107030022;2024;0,14655797055164244;0,036961309831197255
0107030022;2025;0,1466868042081432;0,036961309831197255
0107030777;2016;-1,5;0,39285714285714285
0107030777;2017;-0,9643;1,1071428571428572
0107030777;2018;-0,0473;0,09793081661664824
0107030777;2019;0,0465;0,10786841345270289
0107030777;2020;0,046951286947357396;0,12051717658017243
0107030777;2021;0,04994974775319863;0,1038408752474753
0107030777;2022;0,04890199051517033;0,1019314724433792
0107030777;2023;0,05009387778678039;0,10223210543278029
0107030777;2024;0,049357970551642434;0,1020639570418956
0107030777;2025;0,04948680420814321;0,1020639570418956
0107030784;2016;-1,0085;0,2953091684434968
0107030784;2017;-0,0741;0,26199261992619927
0107030784;2018;-0,0013;0,17011207882218427
0107030784;2019;0,0138;0,5183329232008232
0107030784;2020;0,014251286947357396;0,5309816863282928
0107030784;2021;0,017249747753198628;0,5143053849955956
0107030784;2022;0,016201990515170323;0,5123959821914995
0107030784;2023;0,017393877786780386;0,5126966151809006
0107030784;2024;0,016657970551642427;0,5125284667900158
0107030784;2025;0,016786804208143206;0,5125284667900158
0107030801;2017;0,7256;0,9345692475463467
0107030801;2018;-0,0029;0,6744895795694461
0107030801;2019;0,0135;0,06475516172299303
0107030801;2020;0,013951286947357398;0,07740392485046257
0107030801;2021;0,01694974775319863;0,06072762351776545
0107030801;2022;0,015901990515170328;0,05881822071366935
0107030801;2023;0,01709387778678039;0,059118853703070434
0107030801;2024;0,016357970551642433;0,05895070531218574
0107030801;2025;0,016486804208143212;0,05895070531218574
0107031227;2019;1,0325;0,05470772960167484
0107031227;2020;1,0329512869473574;0,06735649272914437
